hw.machine: arm64
hw.snd.report_soft_formats: 1
hw.sdhci.enable_msi: 1
hw.sdhci.quirk_set: 0
hw.sdhci.quirk_clear: 0
hw.sdhci.debug: 0
hw.pci.default_vgapci_unit: -1
hw.pci.enable_pcie_hp: 1
hw.pci.clear_pcib: 0
hw.pci.iov_max_config: 1048576
hw.pci.clear_aer_on_attach: 0
hw.pci.enable_aspm: 1
hw.pci.enable_ari: 1
hw.pci.clear_buses: 0
hw.pci.clear_bars: 0
hw.pci.usb_early_takeover: 0
hw.pci.honor_msi_blacklist: 1
hw.pci.msix_rewrite_table: 0
hw.pci.enable_msix: 1
hw.pci.enable_msi: 1
hw.pci.do_power_suspend: 1
hw.pci.do_power_resume: 1
hw.pci.do_power_nodriver: 0
hw.pci.realloc_bars: 1
hw.pci.enable_io_modes: 1
hw.nvme.verbose_cmd_dump: 0
hw.nvme.use_nvd: 0
hw.nvd.delete_max: 1073741824
hw.mmcsd.cache: 1
hw.mmc.debug: 0
hw.kbd.keymap_restrict_change: 0
hw.ix.enable_aim: 0
hw.ix.enable_rss: 1
hw.ix.enable_fdir: 0
hw.ix.unsupported_sfp: 0
hw.ix.enable_msix: 1
hw.ix.advertise_speed: 0
hw.ix.flow_control: 3
hw.ix.max_interrupt_rate: 31250
hw.hid.debug: 0
hw.fdt.serial-number: 100000007e95feaa
hw.fdt.compatible: raspberrypi,4-model-b brcm,bcm2711
hw.fdt.model: Raspberry Pi 4 Model B Rev 1.5
hw.regulator.vdd-sd-io.uvolt: 1800000
hw.regulator.vdd-sd-io.always_on: 1
hw.regulator.vdd-sd-io.boot_on: 1
hw.regulator.vdd-sd-io.enable_cnt: 1
hw.regulator.vdd-sd-io.enable_delay: 0
hw.regulator.vdd-sd-io.ramp_delay: 0
hw.regulator.vdd-sd-io.max_uamp: 0
hw.regulator.vdd-sd-io.min_uamp: 0
hw.regulator.vdd-sd-io.max_uvolt: 3300000
hw.regulator.vdd-sd-io.min_uvolt: 1800000
hw.regulator.vcc-sd.uvolt: 3300000
hw.regulator.vcc-sd.always_on: 0
hw.regulator.vcc-sd.boot_on: 1
hw.regulator.vcc-sd.enable_cnt: 0
hw.regulator.vcc-sd.enable_delay: 0
hw.regulator.vcc-sd.ramp_delay: 0
hw.regulator.vcc-sd.max_uamp: 0
hw.regulator.vcc-sd.min_uamp: 0
hw.regulator.vcc-sd.max_uvolt: 3300000
hw.regulator.vcc-sd.min_uvolt: 3300000
hw.regulator.5v0.uvolt: 5000000
hw.regulator.5v0.always_on: 1
hw.regulator.5v0.boot_on: 0
hw.regulator.5v0.enable_cnt: 0
hw.regulator.5v0.enable_delay: 0
hw.regulator.5v0.ramp_delay: 0
hw.regulator.5v0.max_uamp: 0
hw.regulator.5v0.min_uamp: 0
hw.regulator.5v0.max_uvolt: 5000000
hw.regulator.5v0.min_uvolt: 5000000
hw.regulator.3v3.uvolt: 3300000
hw.regulator.3v3.always_on: 1
hw.regulator.3v3.boot_on: 0
hw.regulator.3v3.enable_cnt: 0
hw.regulator.3v3.enable_delay: 0
hw.regulator.3v3.ramp_delay: 0
hw.regulator.3v3.max_uamp: 0
hw.regulator.3v3.min_uamp: 0
hw.regulator.3v3.max_uvolt: 3300000
hw.regulator.3v3.min_uvolt: 3300000
hw.clock.108MHz-clock.enable_cnt: 0
hw.clock.108MHz-clock.childrens: 
hw.clock.108MHz-clock.parents: 
hw.clock.108MHz-clock.parent: 
hw.clock.108MHz-clock.frequency: 108000000 
hw.clock.27MHz-clock.enable_cnt: 0
hw.clock.27MHz-clock.childrens: 
hw.clock.27MHz-clock.parents: 
hw.clock.27MHz-clock.parent: 
hw.clock.27MHz-clock.frequency: 27000000 
hw.clock.otg.enable_cnt: 0
hw.clock.otg.childrens: 
hw.clock.otg.parents: 
hw.clock.otg.parent: 
hw.clock.otg.frequency: 480000000 
hw.clock.osc.enable_cnt: 0
hw.clock.osc.childrens: 
hw.clock.osc.parents: 
hw.clock.osc.parent: 
hw.clock.osc.frequency: 54000000 
hw.em.max_interrupt_rate: 8000
hw.em.eee_setting: 1
hw.em.rx_process_limit: 100
hw.em.sbp: 0
hw.em.smart_pwr_down: 0
hw.em.rx_abs_int_delay: 66
hw.em.tx_abs_int_delay: 66
hw.em.rx_int_delay: 0
hw.em.tx_int_delay: 66
hw.em.disable_crc_stripping: 0
hw.efi.poweroff: 1
